m
ms,degC
525,34.25
3044,34.50
5564,34.63
8083,34.75
10602,34.88
13121,34.88
15640,34.94
18159,35.06
20678,35.13
23198,35.13
25717,35.19
28236,35.25
30755,35.31
33274,35.38
35794,35.38
38313,35.38
40833,35.44
43352,35.50
45872,35.50
48391,35.50
50910,35.56
53429,35.63
55948,35.63
58468,35.63
60987,35.63
63506,35.69
66026,35.69
68545,35.69
71064,35.75
73583,35.75
76103,35.75
78622,35.81
81141,35.81
83661,35.81
86180,35.88
88699,35.88
91218,35.88
93739,35.94
96258,35.94
98777,35.88
101297,35.94
103816,36.00
106335,36.00
